ticket_id,route_id,bus_id,timestamp,passengers,price
T001,R1,BUS-101,2025-09-13T08:05:00Z,15,150
T002,R2,BUS-102,2025-09-13T08:08:00Z,18,180
T003,R3,BUS-103,2025-09-13T08:12:00Z,12,120
T004,R1,BUS-104,2025-09-13T08:15:00Z,20,200
T005,R2,BUS-105,2025-09-13T08:22:00Z,17,170
T006,R1,BUS-101,2025-09-13T09:03:00Z,19,190
T007,R3,BUS-106,2025-09-13T09:15:00Z,16,160
T008,R2,BUS-102,2025-09-13T09:25:00Z,22,220
T009,R1,BUS-104,2025-09-13T09:40:00Z,18,180
T010,R3,BUS-103,2025-09-13T10:05:00Z,10,100
T011,R1,BUS-107,2025-09-13T10:30:00Z,8,80
T012,R2,BUS-105,2025-09-13T11:00:00Z,5,50
T013,R3,BUS-106,2025-09-13T11:25:00Z,7,70
T014,R1,BUS-101,2025-09-13T12:10:00Z,4,40
T015,R2,BUS-108,2025-09-13T12:45:00Z,6,60
T016,R3,BUS-109,2025-09-13T13:20:00Z,3,30
T017,R1,BUS-104,2025-09-13T14:00:00Z,5,50
T018,R2,BUS-102,2025-09-13T14:30:00Z,6,60
T019,R3,BUS-110,2025-09-13T15:00:00Z,8,80
T020,R1,BUS-107,2025-09-13T15:40:00Z,7,70
T021,R2,BUS-105,2025-09-13T16:15:00Z,10,100
T022,R3,BUS-103,2025-09-13T16:45:00Z,14,140
T023,R1,BUS-101,2025-09-13T17:05:00Z,25,250
T024,R2,BUS-102,2025-09-13T17:10:00Z,28,280
T025,R3,BUS-106,2025-09-13T17:15:00Z,22,220
T026,R1,BUS-104,2025-09-13T17:25:00Z,30,300
T027,R2,BUS-108,2025-09-13T17:35:00Z,26,260
T028,R3,BUS-109,2025-09-13T17:50:00Z,24,240
T029,R1,BUS-107,2025-09-13T18:10:00Z,21,210
T030,R2,BUS-105,2025-09-13T18:30:00Z,19,190
T031,R3,BUS-110,2025-09-13T18:45:00Z,18,180
T032,R1,BUS-101,2025-09-13T19:00:00Z,15,150
T033,R2,BUS-102,2025-09-13T19:20:00Z,12,120
T034,R3,BUS-103,2025-09-13T19:40:00Z,10,100
T035,R1,BUS-104,2025-09-13T20:00:00Z,8,80
T036,R2,BUS-108,2025-09-13T20:30:00Z,6,60
T037,R3,BUS-106,2025-09-13T21:00:00Z,5,50
T038,R1,BUS-107,2025-09-13T21:30:00Z,4,40
T039,R2,BUS-105,2025-09-13T22:00:00Z,3,30
T040,R3,BUS-110,2025-09-13T22:30:00Z,2,20